source_shop,page,artist,title,format,url,ean,price_current,price_original,raw_name,description_snippet,scraped_at
dgmoutlet,1,AC/DC,POWER UP,50th Anniversary Gold Color Vinyl,https://www.dgmoutlet.nl/ac-dc-power-up-50th-anniversary-gold-color-vinyl/0196588734519,0196588734519,27.99,36.99,AC/DC - POWER UP (50th Anniversary Gold Color Vinyl),"LPAnniversary Edition1 stuk(s)Introductie: 2024-09-27Het laatste album van AC/DC, uitgebracht in november 2020, was hun eerste in zes jaar. Het album werd uitgebracht met veel bijval van fans en critici en bereikte de top van de hitlijsten in 21 landen. Tijdens de daaropvolgende Europese tournee trad de band op voor meer dan een miljoen fans. Ter ere van AC/DC's 50-jarige heerschappij als 's werelds grootste rock and roll band, zal de catalogus van de band verkrijgbaar zijn als goudkleurige vinyl LP's. Elk van deze limited edition LP's wordt geleverd met een album-specifieke 12""x12"" print met nieuw AC/DC 50 artwork, geschikt om in te lijsten.1. Realize2. Rejection3. Shot In The Dark4. Through The Mists Of Time5. Kick You When You're Down6. Witch's Spell7. Demon Fire8. Wild Reputation9. No Man's Land10. Systems Down11. Money Shot12. Code Red",2026-03-15T11:53:59.989170+00:00
dgmoutlet,1,AC/DC,Sight & Sound In Concert 1977,LP,https://www.dgmoutlet.nl/ac-dc-sight-sound-in-concert-1977-lp/8717662597831,8717662597831,15.99,24.99,AC/DC - Sight & Sound In Concert 1977 (LP),"LP Standard Edition 1 stuk(s) Introductie: 2025-03-28 Productbeschrijving AC/DC is een Australische rockband die in 1973 in Sydney werd opgericht. Hun muziek is door muziekjournalisten beschreven als hardrock, bluesrock en, controversieel, heavy metal. De band heeft zichzelf gedefinieerd als 'een rock-'n-rollband, niets meer en niets minder'. Het werd opgenomen in Golders Green Hippodrome, Londen, VK op 27 oktober 1977 tijdens een concert van de rockband. Tracklist 1. Let There Be Rock - Ac & Dc 2. Problem Child - Ac & Dc 3. Hell Ain't A Bad Place To Be - Ac & Dc 4. Whole Lotta Rosie - Ac & Dc 5. Bad Boy Boogie - Ac & Dc 6. Rocker - Ac & Dc 7. T.N.T. - Ac & Dc",2026-03-15T11:53:59.989170+00:00
dgmoutlet,1,Acda En De Munnik,Adem,Beste Van - LP,https://www.dgmoutlet.nl/acda-en-de-munnik-adem-beste-van-lp/8719262042001,8719262042001,34.50,42.99,Acda En De Munnik - Adem (Beste Van) (LP),"LPColoured Vinyl2 stuk(s)Introductie: 2025-10-10 In 1995 begon het duo Acda En De Munnik aan een reeks uiterst succesvolle albums en uitverkochte theatertours. Allereerst kwam in 1997 het titelloze album uit met daarop de bekende hits ""Als Het Vuur Gedoofd Is"", ""Lopen Tot De Zon Komt"", ""Vondelpark Vannacht"" en de inmiddels befaamde cover van het Jacques Brel nummer ""De Stad Amsterdam"". Na hun debuut release kwam het tweede album Naar Huis uit, met daarop hun grootste hit ""Niet Of Nooit Geweest"". Naast deze monster hit, bevat dit album een flink aantal bekende en geliefde liedjes, zoals het nummer over het overlijden van John Lennon ""Laat Me Slapen"", ""De Kapitein"" en ""Het Regent Zonnestralen"" Uiteraard staan ook de kenmerkende Acda & De Munnik hits ""Ren Lenny Ren"", ""Verkeerd Verbonden"" en ""De Kapitein Deel II"" op de unieke verzamel-LP Adem - Het Beste Van Acda & de Munnik.Het artwork voor deze compilatie is uniek en geheel in samenwerking gemaakt. De foto's op de voorkant van het album en aan de binnenkant van de klaphoes zijn geschoten in Frankrijk, tijdens het schrijven van de nummers voor het album waar het succes allemaal mee begon.Adem is verkrijgbaar als gelimiteerde editie van 1000 exemplaren op goudkleurig vinyl. Tracklist 11. Niet Of Nooit Geweest - Acda En De Munnik2. Groeten Uit Maaiveld - Acda En De Munnik3. Laat Me Slapen - Acda En De Munnik4. Ren Lenny Ren - Acda En De Munnik5. Mooi Liedje - Acda En De Munnik6. Vondelpark Vannacht - Acda En De Munnik7. Het Regent Zonnestralen - Acda En De Munnik8. Als Je Bij Me Weggaat - Acda En De Munnik9. Totdat Ik Jou - Acda En De Munnik10. De Kapitein Deel Ii - Acda En De Munnik11. (noem Me) Oud Verdriet - Acda En De Munnik12. Als Het Vuur Gedoofd Is - Acda En De MunnikTracklist 21. Lopen Tot De Zon Komt - Acda En De Munnik2. Dag Esmee - Acda En De Munnik3. De Kapitein - Acda En De Munnik4. Brussel Moeten Heten - Acda En De Munnik5. Lena (live) - Acda En De Munnik6. Schoolplein (live) - Acda En De Munnik7. Morgen Is Ze Weg - Acda En De Munnik8. Jaren Ver Van Hier - Acda En De Munnik9. Vandaag Ben Ik Gaan Lopen - Acda En De Munnik10. De Stad Amsterdam - Acda En De Munnik11. Verkeerd Verbonden - Acda En De Munnik12. Een Spaanse Moslim Groet Zijn God - Acda En De Munnik",2026-03-15T11:53:59.989170+00:00
dgmoutlet,1,Acda En De Munnik,Jouw Leven Lang Bij Mij,LP - Coloured Vinyl,https://www.dgmoutlet.nl/acda-en-de-munnik-jouw-leven-lang-bij-mij-lp-coloured-vinyl/AS0602455660428,0602455660428,19.99,28.99,Acda En De Munnik - Jouw Leven Lang Bij Mij (LP) (Coloured Vinyl),"LP Nieuw in de originele sealing. Kaft aan de bovenrand licht verbogen.LPColoured Vinyl1 stuk(s)Introductie: 2023-10-20 Jouw leven lang bij mij van Acda en De Munnik is het zevende studioalbum van het Nederlandse duo en verscheen oorspronkelijk in het genre Nederlandstalige pop. Het album staat bekend om zijn karakteristieke, warme samenzang, cabareteske teksten en toegankelijke muzikale arrangementen, waarmee het duo een vertrouwd geluid neerzet dat goed aansluit bij hun eerdere werk. De sfeer op het album is overwegend positief, met veel vrolijke nummers die gedragen worden door piano, gitaar en mondharmonica, en versterkt worden door de intieme uitvoering en de herkenbare chemie tussen beide artiesten. Deze editie betreft een LP-uitvoering op coloured vinyl, wat zorgt voor een extra verzamelelement voor liefhebbers van fysieke muziekdragers. Het album werd uitgebracht in het jaar 2009 en heeft sindsdien een vaste plek verworven binnen het Nederlandse poprepertoire, mede door de productie van JB Meijers en het uitbrengen op Universal Music. De combinatie van de herkenbare Acda en De Munnik-sound en het frisse uiterlijk van de gekleurde plaat maakt deze uitgave geliefd bij fans van het duo en bij verzamelaars van Nederlandstalige popmuziek. 1. Ik Blijf Jouw Leven Lang Bij Mij - Acda En De Munnik2. Alleen Maar Hier - Acda En De Munnik3. 'T Is Wat Het Is - Acda En De Munnik4. Als Ze Lacht - Acda En De Munnik5. Ze Zegt Steeds Liefje - Acda En De Munnik6. Hm Hm Ja Ja - Acda En De Munnik7. Ik Wou Dat Je Een Vreemde Was - Acda En De Munnik8. Ezra - Acda En De Munnik9. Sally - Acda En De Munnik10. Alles Gaat Voorbij - Acda En De Munnik11. Eva - Acda En De Munnik12. Over En Uit - Acda En De Munnik13. Voicemail - Acda En De Munnik",2026-03-15T11:53:59.989170+00:00
dgmoutlet,1,Ad Infinitum,Abyss,LP,https://www.dgmoutlet.nl/ad-infinitum-abyss-lp/0810137300573,0810137300573,22.99,30.99,Ad Infinitum - Abyss (LP),"LPStandard Edition1 stuk(s)Introductie: 2024-10-11Abyss is het vierde album van Ad Infinitum en kwam uit in het jaar 2024. De band uit Zwitserland staat bekend om haar hybride aanpak binnen de metalscene, waarbij symfonische metal de belangrijkste kern vormt, maar op Abyss wordt deze basis aangevuld met genres als metalcore, post-hardcore, djent en pop. Het album laat een duidelijke evolutie horen ten opzichte van eerder werk en kenmerkt zich door een samenspel van krachtige instrumentatie en opvallende vocale prestaties. De muziek op Abyss is breed georkestreerd, maar legt de focus niet volledig op de symfonische laag; deze elementen ondersteunen vooral de sfeer en dynamiek. In plaats daarvan staan de stevige baspartijen van Korbinian Benedict en de gevarieerde drums en gitaren meer op de voorgrond, waarbij de arrangementen meer ruimte maken voor een poppy productie en toegankelijke melodieën. Toch blijft de impact van frontvrouw Melissa Bonny onmiskenbaar aanwezig; haar vocale bereik varieert van verfijnde zang tot brute uithalen, wat een groot deel van de aantrekkingskracht van het album verklaart. Qua sfeer ademt Abyss een theatrale en grootse uitstraling, met feilloze overgangen tussen intense passages en aanstekelijke refreinen. Opvallend is de inzet van elektronische lagen en moderne productie—elementen die het geluid fris houden en aansluiten bij de hedendaagse metalcore. De band durft bovendien progressieve structuren te verwerken, waardoor het album enerzijds toegankelijk voelt, maar voor de oplettende luisteraar genoeg details en variatie biedt. Enkele tracks die op Abyss te vinden zijn, zijn My Halo, dat het album opent met een krachtige energie en melodieuze hooks, en Follow Me Down, waarin de band verschillende stijlelementen organisch samenbrengt. Ook Outer Space springt eruit, mede dankzij zijn gelaagde compositie en het dynamische spel tussen zang en instrumentatie. Abyss is uitgebracht als LP, wat het warme, dynamische karakter van de muziek extra benadrukt. Het album biedt een moderne blik op symfonische metal, doorspekt met invloeden uit pop, metalcore en progressieve stromingen, uitgevoerd met herkenbare flair en professionaliteit. Hiermee positioneert Ad Infinitum zich opnieuw als een van de meest innovatieve bands binnen het symfonische metalgenre.1 My Halo2 Follow me Down3 Outer Space4 Aftermath5 Euphoria6 Surrender7 Anthem for the Broken8 The one you'll hold on to9 Parasite10 Dead End",2026-03-15T11:53:59.989170+00:00
dgmoutlet,1,Ageless (2Lp,Gatefold),LP,https://www.dgmoutlet.nl/ageless-2lp-gatefold-lp/5411530816378,5411530816378,17.99,32.99,Ageless (2Lp - Gatefold) (LP),"LP Standard Edition 2 stuk(s) Introductie: 2018-08-16 Productbeschrijving Paul Michiels wordt op 15 juni 70 jaar en hij viert dat met een nieuwe plaat,een autobiogratie én een nieuwe concerttour.Die nieuwe CD ?Ageless? wordt vergezeld van 2 cd?s met een totaal overzicht van ?s mans oeuvre. Bekend en minder bekend, géén hits van Soulsister. Paul is van vele markten thuis, en daar hoor je op dit prachtig naslagwerk. Poppy, bluesy & jazzy : Paul beheerst het allemaal als een grote meneer !In het najaar staat er een theatertour gepland met zijn vaste live-begeleidingsand. Hij zal er uit zijn nieuwe & oude repertoire putten, maar ook zijn favoriete songs spelen.Dit album is het eerste op het nieuwe label CNR Legends, speciaal voor mensen met een carrière als Paul opgericht. Tracklist 1 1. Paul Michiels - Ageless 2. Paul Michiels - Come On Home (With Me) 3. Paul Michiels - Big Heart, No Hope 4. Paul Michiels - The City 5. Paul Michiels - The Milkman's Son Song Tracklist 2 1. Paul Michiels - Slow Down 2. Paul Michiels - Love You Like I Do 3. Paul Michiels - Don't Hide From That Rain 4. Paul Michiels - Here's To Life 5. Paul Michiels - Shine Tracklist 3 1. Paul Michiels - Feel Right 2. Paul Michiels - Sail Back Home 3. Paul Michiels - Magic In The House 4. Paul Michiels - One Day At A Time 5. Paul Michiels - The Inner Child Tracklist 4 1. Paul Michiels - No Rewind 2. Paul Michiels - Females 3. Paul Michiels - Fly Alone 4. Paul Michiels - Mercedes Benz (Live) 5. Paul Michiels - Eloise (Live)",2026-03-15T11:53:59.989170+00:00
dgmoutlet,1,Agnostic Front,Live in N.Y.C. '91,LP,https://www.dgmoutlet.nl/agnostic-front-live-in-n.y.c.-91-lp/AS0039911130216,0039911130216,39.99,52.99,Agnostic Front - Live in N.Y.C. '91 (LP),"LP Nieuw in de originelen seal. kaft licht beschadigd. LPStandard Edition1 stuk(s)Introductie: 2025-08-15ProductbeschrijvingLive In N.Y.C. '91 van Agnostic Front, Gorilla Biscuits and Sick Of It All, met release datum 12 september 2025.Deze versie van Live In N.Y.C. '91 verschijnt als een 1xLP.Het product bevat een galaxy vinylTracklist1. Agnostic Front/Sick of It All/Gorilla Biscuits - Clobberin' Time/Pay the Price2. Agnostic Front/Sick of It All/Gorilla Biscuits - G.I. Joe Headstomp3. Agnostic Front/Sick of It All/Gorilla Biscuits - Victim in Pain4. Agnostic Front/Sick of It All/Gorilla Biscuits - Public Assistance5. Agnostic Front/Sick of It All/Gorilla Biscuits - Competition6. Agnostic Front/Sick of It All/Gorilla Biscuits - Infiltrate7. Agnostic Front/Sick of It All/Gorilla Biscuits - Strength8. Agnostic Front/Sick of It All/Gorilla Biscuits - What's Goin' On9. Agnostic Front/Sick of It All/Gorilla Biscuits - Distance10. Agnostic Front/Sick of It All/Gorilla Biscuits - Crucified11. Agnostic Front/Sick of It All/Gorilla Biscuits - Hold Your Ground12. Agnostic Front/Sick of It All/Gorilla Biscuits - Start Today13. Agnostic Front/Sick of It All/Gorilla Biscuits - Injustice System14. Agnostic Front/Sick of It All/Gorilla Biscuits - Alone15. Agnostic Front/Sick of It All/Gorilla Biscuits - Blind Justice",2026-03-15T11:53:59.989170+00:00
dgmoutlet,1,Air,Kelly Watch the Stars,LP,https://www.dgmoutlet.nl/air-kelly-watch-the-stars-lp/5054197897634,5054197897634,26.95,36.95,Air - Kelly Watch the Stars (LP),"LPPicture Disc1 stuk(s)Introductie: 2024-04-20 Kelly Watch the Stars van Air, met release datum 20 april 2024, bevat de volgende nummers: ""Kelly Watch The Stars (Edit Version)"" en meer.Deze versie van Kelly Watch the Stars verschijnt als een 1xLP in een Obi Strook verpakking.Het product bevat een picture disc vinyl. Tracklist1. Kelly Watch The Stars (edit) - Air2. Kelly Watch The Stars (moog Cookbook Remix) - Air3. Kelly Watch The Stars (edit Version) - Air4. Kelly Watch The Stars (american Girls Remix By Phoenix) - Air",2026-03-15T11:53:59.989170+00:00
dgmoutlet,1,Ajr,Ok Orchestra,LP,https://www.dgmoutlet.nl/ajr-ok-orchestra-lp/194398592213,194398592213,17.99,27.99,Ajr - Ok Orchestra (Lp),LP Standard Edition 1 stuk(s) 06 augustus 2021 Tracklist 1. AJR - OK Overture 2. AJR - Bummerland 3. AJR - 3 O'clock Things 4. AJR - My Play 5. AJR - Joe 6. AJR - Adventure Is Out There 7. AJR - Bang! 8. AJR - The Trick 9. AJR - Ordinaryish People (Feat. Blue Man Group) 10. AJR - Humpty Dumpty 11. AJR - World's Smallest Violin 12. AJR - Way Less Sad 13. AJR - Christmas in June,2026-03-15T11:53:59.989170+00:00
dgmoutlet,1,Alabama Shakes,Sound & Color,2 LP,https://www.dgmoutlet.nl/alabama-shakes-sound-color-2-lp/0883870075015,0883870075015,27.99,36.99,Alabama Shakes - Sound & Color (2 LP),"LPStandard Edition2 stuk(s)Introductie: 2015-04-20ProductbeschrijvingSound & Color is het tweede studioalbum van Alabama Shakes, uitgebracht in 2015. Het album verscheen als dubbel-LP en markeert een opvallende stap vooruit ten opzichte van hun debuut, zowel qua productie als muzikaal spectrum. Sound & Color is een genre-overschrijdende plaat met invloeden uit americana, southern rock en soul, maar bevat ook elementen van psychedelica, funk, garage rock, blues en zelfs jazz. Het album wordt vaak omschreven als experimenteel en eclectisch, met een groot gevoel voor avontuur en vernieuwing binnen de rootsrocktraditie.De band werkte ruim een jaar aan de plaat, waarbij ze bewust putten uit diverse muzikale bronnen zonder zich te beperken tot één stijl. Dit levert een dynamisch en ruimtelijk geluid op, waarbij intense vocalen en onverwachte instrumentale uitbarstingen elkaar afwisselen. Alabama Shakes co-produceerde het album, voornamelijk opgenomen in Nashville, en vond balans tussen gedetailleerd studiowerk en spontane, ongepolijste energie. Sound & Color werd wereldwijd geprezen door critici en won meerdere Grammy Awards, vooral door de gedurfde mix van stijlen en de energieke uitvoering die de plaat kenmerken.LP 11:Sound & color2:Don't wanna fight3:Dunes4:Future people5:Gimme all your love6:This feeling7:Guess who8:The greatest9:ShoegazeLP 21:Miss you2:Gemini3:Over my head",2026-03-15T11:53:59.989170+00:00
